what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269311152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269313747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359269315624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269316100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269318326
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359269321713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269322665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269325067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359269329176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269329710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269345149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359269347608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269348079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269349584
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359269351639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359269352400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269353127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269363066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269365024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269367852
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359269370541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359269373430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269374118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269570106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359269594702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269595173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269606700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359269616213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269616662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269621591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359269640668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359269658272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359271157980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359271171915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359271183719
