what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357257855916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357257865184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357257911313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357257911653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357257912178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357257912932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357257913657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357257914147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357257914829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357257915489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357257916102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357257922521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357257930084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357257930767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357257937111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357257940771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357257947051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357257953459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357257957683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357257961171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357257962723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357257965023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357257967258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357257969582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357257970979
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1357257971801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357257995914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357257996676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258002322
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1357258003477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357258007041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258007876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258009047
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357258020528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357258057964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258060221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258066720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357258068039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258089857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258105966
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1357258107116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1357258126659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357258130646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357258138104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258141583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1357258149193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258159124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357258169279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258172452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357258182310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1357258183572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258194204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258197727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258202462
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1357258208979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258211380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1357258218867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258223091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357258223825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258226621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258231027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1357258235499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258237571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1357258246221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258248153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357258248886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258249483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258260494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258261522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258309132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258359895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258382843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258399590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258401157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357258424208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258425372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258439320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357258447115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258448936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258451195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258452522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258453535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357258485994
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258507512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258520255
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258527935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357258536430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357258541275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258542303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258557404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357258563027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258563710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258568594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357258574590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325357713
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1357325369387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325419335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325448308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325481103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325488057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357325499805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325500612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325860754
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1357325862952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357325869487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325928762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325935407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357325939571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357325945351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325946666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325956325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325967357
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325968221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325971649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325978446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357325987017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326014318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326016870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326018184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326025774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326283097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357326290617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326299101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326300697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326301933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326302856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326321485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326323436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326324367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326326368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326473142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326474657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326501421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326549280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326554712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326574516
opened,editor,com.aptana.editor.js,3.0.3.1344380420,"com.aptana.editor.js",1357326578896
activated,editor,com.aptana.editor.js,3.0.3.1344380420,"com.aptana.editor.js",1357326579338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357326583759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357326586210
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1357326588228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357326589542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357326594281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357327031260
activated,editor,com.aptana.editor.js,3.0.3.1344380420,"com.aptana.editor.js",1357327033009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357327038573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357327039650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357327044504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357327046403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357327051767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357327055682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357327057370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357327077298
