what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359074695903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359074698813
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359074700617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359074864521
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359074868579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359074899675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359074905616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359074916144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359074916711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359074920135
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359074922594
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359074928555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1359074941255
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359074942289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359074945542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359074946254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359074948603
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359074952159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359074994502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359074995491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359074998255
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359075002561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359075010333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359075010981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359075014204
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359075017572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359075018044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359075019979
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359075036297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359075046556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359075052619
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359075054628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359075060764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359075068441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359075068986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359075089101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359075090059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359075093567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359075109690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359075133102
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359075135311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075144819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075145096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075145276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075145518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075145848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075146136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075146370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075146607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075146838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075147035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075147253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075147465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075147667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075147898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075148079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075148297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075148509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075148736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075148953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075149204
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075149412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075149731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075149892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359075150170
