what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991198699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991200746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991201347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991203904
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1358991206566
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1358991214133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991217906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991218620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991231621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991247665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991248285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991254656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991261449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991262067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991264140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991267840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991268353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991273161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991276052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991276484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991280306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991283791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991284274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991287062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991289762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991290306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991295351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991299183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991299702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991303140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991318531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991319011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991322590
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991325974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991326557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991330487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991332878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991333356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991361361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991364157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991364709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991367647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991370468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991370978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991393450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1358991414055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358991415304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1358991421020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991423458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991425029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991453397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358991455396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358991456322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358991463561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358991464001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992363039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358992382767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992383377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992387093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358992390139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992390676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992397834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358992400071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992400543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992444539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358992475683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992476222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992817399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992821929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992882970
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1358992884603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992885599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992888036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358992903090
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358992906849
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1358992908541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358992920158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992965498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992969925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1358992974386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358992979723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358992982125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992982583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358992987031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1358993007145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358993078480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358993085030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358993085674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358993087185
