what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941692364
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1357941694528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941702291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941703560
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1357941705717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357941720772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941721507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941723412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941728151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941729044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357941749275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941749749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941752364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357941755211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941755670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941757380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357941760971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941761416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941763914
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1357941766421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357941770986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941771531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941775726
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1357941777638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357941786089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941786545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941799890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357941807603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357941809712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941810204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941813946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357941820393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357941820887
