what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055017918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055026109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055027306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055028700
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359055030328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055031612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055066234
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359055068085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359055078593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055079167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055111512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1359055187740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359055202930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359055227538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055228166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055231458
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359055238836
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359055239952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359055240658
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359055241732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055261011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055261876
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359055262899
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359055271345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359055350136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055350742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055353798
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359055355060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359055355544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055356117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055359714
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359055361982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359055370287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055370875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055374405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359055378708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055379212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055385835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359055390164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055390702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055392886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359055396588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055397014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055399464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359055401636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055402105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055405739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055429997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055430716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359055449098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055449585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359055451466
