what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094220951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094334477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094337125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094351495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359094362413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094363017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094460400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359094470093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359094522042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359094525922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094530528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094542006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359094550121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094550836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094590782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094641962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094646261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359094653293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094653761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094657259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359094664733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094665407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094695196
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359094697356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094700517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094701803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359094732513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359094737557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094738252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094749114
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359094750863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359094753714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094754272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094757792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094764891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094786334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359094988769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359094990561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095000081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095015312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095015821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095018289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095021905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095024996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095051353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095053377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095198371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095311669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095312185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095315961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095318927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095319488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095324071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095326261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095326691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095345576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095355181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095355831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095359849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095363044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095365867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095366477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095368914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095371827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095372639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095388628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095392060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095392900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095396537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095411108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095448925
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359095451042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095473793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095475378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095510552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095522114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095522862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095527946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359095529927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359095530613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095533148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095536624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095537196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095537772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095543430
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359095552705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095560380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095561011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095563494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359095566930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359095567642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095568338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095580131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095580709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095583922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095586700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095587173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095639191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095642604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095644885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359095670000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095756609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095758299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095765713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095767717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359095776644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095777632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095778178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095782805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095786732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095787197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095792817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095796636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095797098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095799383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095802656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095802701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095806532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095806941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359095809217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359095813066
