what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1359316035513
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1359316035513
java.specification.name,sysinfo,,,"Java Platform API Specification",1359316035513
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1359316035513
java.specification.version,sysinfo,,,"1.6",1359316035513
java.vendor,sysinfo,,,"Apple Inc.",1359316035513
java.version,sysinfo,,,"1.6.0_37",1359316035513
java.vm.info,sysinfo,,,"mixed mode",1359316035513
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1359316035513
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1359316035513
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1359316035513
java.vm.specification.version,sysinfo,,,"1.0",1359316035513
java.vm.vendor,sysinfo,,,"Apple Inc.",1359316035513
java.vm.version,sysinfo,,,"20.12-b01-434",1359316035513
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1359316035580
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1359316035767
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1359316035971
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1359316037045
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1359316039373
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1359316040211
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1359316040560
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1359316040820
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1359316041287
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1359316041526
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1359316042553
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1359316042946
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1359316043158
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1359316043309
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1359316043472
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1359316043659
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1359316043753
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1359316043786
error,log,,,"Unknown Host: http://download.eclipse.org/eclipse/updates/3.7/compositeContent.xml",1359316045277
error,log,,,"Unknown Host: http://download.eclipse.org/releases/indigo/compositeContent.xml",1359316045563
error,log,,,"Unknown Host: http://download.aptana.com/studio3/plugin/install/content.xml",1359316046190
error,log,,,"Unknown Host: http://download.eclipse.org/mylyn/releases/indigo/compositeContent.xml",1359316046407
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1359316046451
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1359316046472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359316086189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359326119045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359326125715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359326175411
opened,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359326180472
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359326180720
started,bundle,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359326181378
started,bundle,com.aptana.editor.js,3.0.3.1344380420,"com.aptana.editor.js",1359326181750
started,bundle,com.aptana.editor.xml,3.0.0.1342101363,"com.aptana.editor.xml",1359326181805
started,bundle,com.aptana.editor.svg,3.0.3.1339173764,"com.aptana.editor.svg",1359326181807
opened,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359326182775
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359326183093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359326185834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359326256507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359326262715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359326270345
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1359326270551
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1359326270623
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1359326270706
