what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359514978558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359514979465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359515018518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359515020117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359515703287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359515710560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359515722337
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359515804759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359515805175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359515832823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1359515846560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359515858451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359515929014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359515929624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359515983429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359515999710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516000261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516010191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516013374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516014093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516017844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516021325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516022213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516043222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516046760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516093264
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359516095703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516117681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516117930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516127335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516129827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516130304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516136990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516139715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516140158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516148937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516156269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516156827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516165508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516174272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516174761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516180819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516184865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516185412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516193359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516197208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516197709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516201827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516206200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516209189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516218056
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516222292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516222785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516235677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516242829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516243300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516250909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516259165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516259718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516272755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516275889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516276342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516278238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516279298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516306686
error,log,,,"(Build 3.2.2.1343263605) [ERROR]  The input of the content provider should be the IParseRootNode, not the editor!",1359516308073
error,log,,,"(Build 3.2.2.1343263605) [ERROR]  The input of the content provider should be the IParseRootNode, not the editor!",1359516308097
error,log,,,"(Build 3.2.2.1343263605) [ERROR]  The input of the content provider should be the IParseRootNode, not the editor!",1359516308147
error,log,,,"(Build 3.2.2.1343263605) [ERROR]  The input of the content provider should be the IParseRootNode, not the editor!",1359516308153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516308176
executed,command,com.aptana.editor.js,3.0.3.1344380420,"com.aptana.editor.js.quick_outline",1359516308221
error,log,,,"(Build 3.2.2.1343263605) [ERROR]  The input of the content provider should be the IParseRootNode, not the editor!",1359516308374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516309221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516312158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516315201
opened,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359516315518
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359516315635
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1359516315642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516553109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516577156
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359516584711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516605482
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359516609412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516630425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516644402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516657408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516714278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516718694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516724603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516732052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516744899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516750189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516758692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516769613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516880442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516887273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516892414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516893596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516895410
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359516911291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516912518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516916328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516930024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516934817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516936569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516937465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516943681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359516946940
