what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342328378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342332948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342334836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352342345684
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1352342347466
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1352342356588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342364336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342365520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1352342385172
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1352342385325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1352342387180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352342387966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342390170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342393291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352342396978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342397764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342400279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352342423765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342424471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342426290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352342449069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342450617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342460213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342464300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342464898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342465635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342467653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352342471980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342472735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342475368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1352342489723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342490426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352342494351
