what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357347818293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357347819004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357347821222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357347823648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357347825195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357347826055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357347826972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357347837429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357347842456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357347857003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357347881855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357347885284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357347886671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348015012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348020818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348025834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357348035324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348041952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348045655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357348064676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348065943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348068169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348283002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348290665
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357348295403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348300436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348315507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357348332809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348333420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348396654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348601333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348607776
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1357348610054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357348618643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350205739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350207376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350255465
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1357350265681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357350301909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350303049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350309530
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1357350312836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350320791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350322680
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1357350336044
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1357350341860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350352702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350353960
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1357350355049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357350363382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357350364945
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357350369124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350371894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350374897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357350380034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350380648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350383355
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1357350385853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350389091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350390034
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1357350399368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357350429709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350430325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350437032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350438890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357350448543
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1357350452340
