what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359510889501
started,bundle,com.aptana.filesystem.http,3.0.0.1337406272,"com.aptana.filesystem.http",1359510901849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359510970307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359510971221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359510990836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359510998562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511003511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359511008667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359511022265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511022881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511027565
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1359511032007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359511061726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511062279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511067679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511069495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511070962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359511077112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511077730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511081532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511088306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511091761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359511095701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359511099440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511099952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511103132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359511106361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511106888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511111413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511112906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511114203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359511118696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511119235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511131854
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1359511134875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511255723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511319857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359511324741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511326887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359511333123
