what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357888789292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357888790622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357888793168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357888808508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357888811294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357888815729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357888820688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357888821298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357888834093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357888854442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357888855308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357888859338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357888865930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357888866933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357888891747
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1357888896250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357888942702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357888943677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357888951928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357889071313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357889081880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357889097651
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1357889100285
