what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351565737084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351565740094
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1351565750445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351565769838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351565770439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351565773069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351565777484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351565782257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351565784356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351565784450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351565787087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351565787190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351565803621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351565808668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351565935047
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1351565937433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351565938256
activated,editor,com.aptana.editor.html,3.0.3.1345209313,"com.aptana.editor.html",1351566005419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351566007638
activated,editor,com.aptana.editor.css,3.0.3.1340379148,"com.aptana.editor.css",1351566041425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351566074060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351566080011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351566081384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351566083113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351566086405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351566098567
